Symbol,DIS,ALLE,TGT,CMCSA,GD,TAP,MYL,T,NLSN,HST,HSIC,EXPE,NWS,NWSA,CAH,HAS,ROST,HCA,HII,BIIB,TJX,TSCO,ALL,DVA,DISCA,AAP,DISCK,WY,WU,KMX,WBA,GILD,ADM,CVS,BA,AIG,JCI,DLTR,IFF,LUV,UHS,DISH,MPC,HFC,MRO,EOG,OXY,NBL,OKE,CXO,COP,HP,DVN,NOV,HES,CVX,BKR,APA,FTI,SLB,PSX,FANG,PXD,VLO,XOM,WMB,HAL,NWL,IVZ,LB,MOS,GPS,ALK,SCHW,CF,CMA,HBAN,JWN,KSS,FRC,HBI,KHC,DD,LNC,KEY,DFS,MET,FITB,TFC,WFC,UNM,ZION,USB,COF,BAC,MTB,MS,PBCT,NTRS,RJF,PFG,RF,C,STT,JPM,GS,BK,BEN,PRU,PNC,ETFC,CFG,EMR,EMN,GLW,ETN,FBHS,DOV,HOG,HON,GM,IPGP,HPE,INTC,FFIV,FAST,FDX,FCX,IBM,EXPD,FLS,ITW,PNR,PH,PPG,RHI,ROK,APTV,APH,RTX,SIVB,SNA,SWK,AMP,AME,TEL,TROW,TXT,UPS,URI,VFC,XYL,BLK,PCAR,FTV,MAR,LYB,BWA,MAS,MMM,CMI,LKQ,CE,LEG,CCL,NUE,CAT,NTAP,GOOGL,UNP,GL,L,UAA,WAT,KSU,GOOG,UA,OMC,LOW,LRCX,SYF,IEX,MTD,NSC,KEYS,HD,PKI,HLT,GPC,KLAC,A,CBRE,AXP,EBAY,AAPL,CSX,AMZN,BKNG,ADI,PVH,PRGO,BBY,PKG,ORCL,ODFL,NVDA,NCLH,PWR,MXIM,MU,MHK,MGM,MCHP,LVS,CSCO,DAL,DE,JNPR,CHRW,AVY,QRVO,JBHT,ZBRA,AAL,XRX,XLNX,WYNN,WRK,WHR,WDC,WAB,ADS,UAL,TXN,ALB,TPR,TIF,AMAT,SWKS,STX,ANET,AOS,RL,AVGO,RCL,QCOM,J,GE,IPG,F,IP,HPQ,GWW,FMC,FLIR,IR,DXC,AMCR,CME,NEM,LW,HSY,EIX,DHI,HRL,DXCM,CBOE,ATO,NI,SRE,ED,ETR,EXC,DTE,PEG,AEP,AEE,DUK,PNW,D,FE,VTR,ES,NEE,PEAK,EVRG,CMS,AWK,PSA,WEC,XEL,O,WELL,AMT,LNT,SO,EXR,TWTR,CTXS,CTSH,BDX,AMD,ABBV,ILMN,TMO,NFLX,GRMN,CPRT,BAX,VAR,FB,LIN,ISRG,AZO,LH,PFE,IQV,ZBH,COO,ABT,CDNS,SHW,FLT,APD,ROP,CDW,EFX,PYPL,PAYX,BR,ECL,JKHY,IT,WLTW,AON,VRSN,SNPS,ADP,V,ADBE,MA,ADSK,ACN,AFL,MCO,LDOS,INTU,ANSS,AJG,CTAS,HIG,GPN,SPGI,NKE,TDG,MSCI,MSFT,MMC,INFO,EQR,FRT,REG,UDR,AIV,AVB,ARE,ESS,DRE,PLD,KIM,MAA,DLR,PHM,CNP,AES,GIS,CLX,CPB,CAG,VZ,SJM,LEN,BMY,NRG,DG,K,CMG,PPL,NVR,MLM,SBAC,CCI,MKTX,TSN,EQIX,CHD,MKC,TTWO,MCD,VMC,LHX,ICE,KO,KMB,WRB,BLL,RSG,MDT,FIS,FISV,EW,TFX,DHR,MRK,SYK,ZTS,HOLX,IDXX,BSX,RMD,STE,NOW,PAYC,PG,MDLZ,PGR,TRV,PEP,AIZ,WM,LMT,NOC,NDAQ,MSI,RE,CL,CINF,VRSK,CB,COTY,DRI,COG,IRM,CTL,HRB,SEE,MO,EA,DPZ,PM,KR,INCY,HUM,REGN,AMGN,VRTX,ALXN,ABMD,ALGN,CNC,XRAY,ANTM,ABC,UNH,MCK,CI,YUM,ORLY,JNJ,DGX,WMT,STZ,BXP,CHTR,SYY,SPG,MNST,TMUS,AKAM,SLG,CERN,KMI,SBUX,ULTA,ROL,LYV,EL,CRM,ATVI,VNO,LLY,FTNT,COST,Cluster
SYK,36,34,20,64,54,38,86,26,52,30,50,52,30,36,50,68,44,58,28,52,36,44,38,56,30,14,22,58,38,34,54,58,34,58,14,24,60,20,32,30,44,50,40,34,16,28,40,18,46,20,6,20,34,20,10,32,40,22,38,34,44,24,16,38,22,30,14,18,16,28,22,8,14,0,16,36,34,-4,8,46,6,18,-2,38,50,72,36,56,54,52,12,62,56,58,48,34,32,50,48,22,42,46,38,24,28,46,48,44,24,50,32,54,14,22,30,38,54,56,20,74,48,36,16,42,38,44,36,16,44,38,30,44,42,20,54,44,36,36,46,48,46,22,46,52,54,52,62,62,46,42,42,66,72,32,56,46,14,14,50,56,38,44,36,40,34,32,24,28,42,34,32,54,46,60,28,50,50,50,54,70,42,82,92,36,86,68,100,64,58,78,72,58,64,82,48,38,68,56,74,14,72,30,72,36,38,48,34,56,54,48,38,28,48,26,48,50,26,22,56,76,34,46,58,16,42,58,36,56,36,48,24,34,36,74,38,12,52,48,38,36,46,36,32,60,46,54,28,18,20,24,44,34,32,30,60,50,58,-14,6,20,42,46,0,-2,14,64,2,72,38,44,40,50,28,62,42,62,60,40,44,36,50,28,30,44,30,66,50,48,18,56,56,48,38,48,48,48,46,62,46,74,82,44,64,78,110,56,74,62,92,54,40,64,92,60,72,74,112,120,110,144,80,90,92,76,62,58,72,78,78,70,102,70,86,78,88,94,88,84,74,78,80,40,94,68,82,102,90,94,68,98,70,86,72,62,78,48,84,62,82,60,60,54,54,44,50,48,54,60,64,60,58,40,26,20,14,42,48,12,44,34,26,2,56,50,56,26,60,16,16,44,46,66,80,62,82,32,50,56,42,48,58,34,58,64,62,98,78,134,70,70,110,120,106,108,0,102,96,112,122,100,116,72,76,60,68,28,38,54,34,74,56,48,40,44,38,60,48,66,62,-6,32,16,12,-4,-6,58,14,10,6,14,-8,40,54,52,80,50,36,70,48,46,54,54,68,46,42,60,48,44,74,78,20,34,52,58,30,30,54,64,74,8,78,52,96,46,38,68,76,66,36,22,80,32,60,4
ZTS,28,46,42,36,62,40,66,22,18,46,36,40,18,24,8,72,40,84,26,68,34,24,28,54,10,22,8,36,36,40,28,60,28,42,32,28,36,18,46,42,28,42,48,40,58,40,40,42,58,40,38,28,34,46,36,44,66,16,64,42,44,36,58,22,48,68,46,12,2,2,24,-10,12,24,34,12,24,-4,18,26,-10,12,-4,22,40,40,32,38,40,38,12,32,70,60,58,32,48,26,54,34,30,26,50,24,44,50,48,40,44,70,40,46,50,24,34,56,42,60,26,80,32,32,20,64,36,40,30,34,60,40,60,60,46,42,46,48,16,24,52,56,52,46,50,34,58,50,50,44,32,38,32,40,60,28,44,38,14,18,42,58,34,38,40,34,42,46,36,34,58,40,58,54,52,64,42,62,48,50,40,92,16,78,60,38,40,48,80,68,30,94,78,72,74,74,58,34,56,68,50,-2,44,50,48,54,40,78,50,40,62,68,24,38,50,34,46,34,58,22,44,48,44,54,56,38,30,38,32,38,54,56,12,30,32,62,44,20,32,66,52,40,38,50,4,54,44,50,54,28,16,38,26,36,22,44,54,62,22,-46,46,30,28,28,0,10,-12,30,28,42,36,48,48,40,38,42,34,34,30,32,36,40,16,36,32,34,24,28,36,42,28,28,24,50,50,52,30,28,40,98,42,52,70,54,56,52,90,48,74,68,70,42,60,80,74,60,70,94,80,64,86,88,68,80,52,66,74,74,76,54,66,78,88,78,86,72,66,110,82,78,78,66,76,52,70,62,94,82,92,84,42,118,60,66,104,44,84,76,90,66,88,32,48,32,38,38,42,40,30,46,54,32,34,64,32,30,6,28,32,4,34,24,4,14,40,22,62,18,42,-24,28,38,60,76,64,54,76,40,22,62,44,66,64,58,20,42,52,86,70,76,76,78,82,100,82,114,102,0,72,116,92,64,72,64,60,48,50,32,38,32,38,74,38,32,36,66,38,54,58,92,66,-22,6,-4,16,-32,-18,20,12,14,22,10,-14,44,56,44,102,54,30,44,68,44,32,42,60,56,52,26,50,44,76,78,16,40,42,42,18,20,28,50,66,44,54,54,64,26,26,40,56,48,50,30,98,56,52,7
HOLX,36,44,10,30,46,20,72,14,28,34,36,46,24,38,22,40,8,36,14,36,32,16,18,58,-4,-18,-2,52,-4,38,6,48,46,46,16,2,36,4,40,22,38,10,8,26,26,14,12,20,20,10,26,4,14,28,2,18,34,36,12,20,18,6,10,26,24,10,0,6,10,-2,16,2,0,42,22,36,34,-16,-6,32,-2,8,10,28,36,60,30,52,42,48,32,32,74,56,48,44,28,34,48,24,42,46,30,36,46,42,70,28,30,54,46,44,26,20,20,48,38,58,20,62,32,42,20,26,38,48,40,10,38,26,22,46,44,42,70,36,38,42,36,30,46,24,52,42,44,42,52,36,54,34,28,54,62,26,42,24,20,20,36,44,40,50,36,32,32,26,24,40,30,28,42,56,34,56,44,30,32,22,8,50,42,64,48,16,76,22,78,54,26,50,76,54,36,68,36,30,48,36,60,2,36,18,42,32,28,46,40,58,48,38,12,-2,40,8,16,36,30,18,20,54,24,30,74,18,24,42,12,56,58,22,22,24,28,54,12,18,48,22,24,40,20,28,14,54,54,34,20,36,-2,16,68,20,12,32,40,42,32,-26,10,-6,48,10,-28,0,4,62,10,40,24,18,8,26,-10,28,0,20,36,8,20,20,56,32,-2,24,12,10,30,8,-6,24,26,16,30,10,32,28,24,52,46,20,96,28,42,66,90,32,56,52,116,70,28,38,88,32,36,54,64,82,98,96,40,66,30,30,72,48,58,46,30,36,44,58,68,56,70,46,34,46,58,42,56,26,74,64,72,44,30,58,46,50,42,62,66,32,52,60,66,50,62,56,28,14,38,62,62,32,52,50,56,34,52,32,14,24,2,30,38,2,36,34,12,4,34,30,16,26,42,4,16,50,26,34,26,34,22,18,34,46,32,36,38,10,48,26,40,54,50,90,40,62,78,106,96,88,96,72,0,80,100,80,78,34,38,42,28,2,18,42,44,36,36,34,40,40,24,28,34,52,44,-22,16,-8,-4,-16,-10,6,16,16,-6,8,-6,62,38,52,68,56,54,66,38,42,72,-2,40,24,30,26,36,-4,54,42,8,10,46,44,12,4,18,44,44,8,40,34,54,8,34,40,30,34,28,4,54,18,24,20
IDXX,30,72,46,44,44,44,58,36,28,44,52,42,26,28,32,62,42,68,38,44,32,62,36,62,16,42,14,54,24,46,56,66,16,54,38,30,40,46,50,26,24,60,46,28,44,44,38,34,54,52,20,24,46,28,36,60,30,20,56,30,44,34,46,42,58,50,38,20,18,-4,14,12,10,24,20,20,12,-22,-6,10,-12,28,-10,24,44,56,48,24,34,46,4,40,62,40,44,32,44,34,54,26,54,42,52,28,46,46,50,28,40,42,28,50,40,30,28,38,48,48,16,64,26,28,34,52,32,44,22,28,52,12,54,58,50,36,48,46,40,26,48,54,38,30,52,48,60,38,36,58,50,38,42,62,70,26,54,44,10,34,38,60,38,34,28,30,28,26,32,34,68,36,50,44,34,60,38,72,32,24,56,98,36,62,62,26,62,70,72,58,38,92,66,54,74,72,42,38,66,54,80,12,48,34,42,30,14,60,42,58,62,54,40,22,56,54,36,22,48,16,26,40,54,60,34,34,22,54,30,34,36,42,30,14,40,60,28,24,48,62,32,48,38,26,18,56,50,68,48,44,4,36,28,46,16,18,48,48,36,-26,48,26,24,22,34,14,2,46,24,62,36,70,42,48,30,44,54,60,54,22,40,46,50,38,52,48,30,48,56,42,28,50,46,34,56,44,50,42,28,64,68,50,76,66,82,66,90,52,68,60,82,58,58,66,82,56,70,80,76,70,72,90,66,42,72,50,68,74,66,60,50,70,70,60,60,66,88,100,82,72,76,64,66,42,84,64,84,72,86,66,62,86,62,74,86,62,72,70,86,64,78,46,34,34,36,42,56,30,46,42,58,26,56,54,38,12,8,24,-2,20,36,26,10,8,44,38,62,14,38,0,26,22,58,64,74,48,84,22,32,58,44,46,50,56,32,30,60,46,54,106,80,66,70,108,88,92,112,116,80,0,90,98,70,82,66,34,40,28,52,44,36,56,42,48,58,54,30,36,56,68,52,-28,-12,18,34,2,-10,-8,8,10,-16,20,-4,40,64,40,80,64,50,68,80,56,58,48,70,56,64,48,32,24,56,88,38,40,16,64,16,12,24,34,76,26,60,60,68,28,16,34,42,56,42,12,66,44,62,5
BSX,18,54,0,34,34,22,58,-8,28,34,24,24,36,38,16,26,8,34,0,64,0,46,28,24,14,0,10,18,14,12,0,56,22,24,38,-4,40,-8,28,12,18,24,30,24,44,24,30,28,58,28,40,28,30,20,26,56,58,22,14,26,30,50,30,36,34,44,22,-6,2,-18,20,-16,-6,8,20,32,20,-14,-14,34,-10,-2,6,24,42,62,16,40,44,42,12,36,50,50,34,36,18,22,26,40,26,34,28,6,22,24,24,30,36,44,24,36,26,6,2,36,38,30,22,46,14,18,4,28,6,38,26,12,16,36,38,40,26,34,50,30,30,28,30,42,22,22,12,38,60,32,40,32,34,28,2,44,38,42,36,28,-6,12,34,32,32,28,34,26,22,32,10,32,30,48,38,36,22,52,14,30,24,24,18,66,24,58,72,40,56,24,78,42,24,54,74,58,48,64,34,42,44,36,64,2,44,20,46,26,28,42,18,38,30,34,48,30,34,12,38,10,14,18,20,58,30,38,50,2,18,42,18,58,30,28,24,0,-4,50,8,22,24,46,14,20,48,-4,4,42,24,22,12,18,8,0,34,40,14,24,70,64,24,-18,20,34,30,28,14,16,22,50,8,54,32,30,52,50,20,46,22,56,72,30,48,44,34,20,34,36,14,44,40,28,18,44,40,32,34,32,50,50,38,56,26,48,94,42,54,72,84,34,60,80,72,60,48,46,84,48,68,84,104,96,92,108,56,64,56,36,58,64,42,54,70,54,68,38,42,56,72,86,72,70,66,78,80,40,64,60,62,70,88,86,70,70,36,60,68,16,60,40,60,54,78,42,52,26,40,34,46,42,34,56,52,22,44,32,32,14,16,10,24,-16,26,0,-4,-6,40,28,24,-10,42,-4,16,28,28,46,56,34,52,30,18,54,2,46,64,24,32,34,48,50,64,108,56,62,86,86,100,100,122,92,100,90,0,96,88,52,68,58,20,26,24,46,36,40,48,38,38,42,14,48,38,64,36,-28,16,4,0,-14,-12,20,18,24,8,18,-24,54,58,84,74,80,50,74,38,50,46,32,56,36,22,22,40,10,52,60,-2,0,42,38,-14,12,48,44,50,12,84,70,40,24,28,48,42,56,24,20,74,32,6,7
RMD,36,56,6,30,16,0,40,34,0,36,36,18,28,28,32,26,10,16,16,24,32,46,26,26,2,-4,6,38,12,52,26,18,12,24,0,-4,44,14,42,0,10,28,-6,-12,-2,0,-8,-22,24,2,-24,-4,0,-22,-6,10,16,-10,-4,0,6,14,-4,0,-22,18,-8,-14,-2,-18,-16,-10,2,-16,-8,2,4,-24,-14,-2,-20,12,-26,8,18,30,28,6,28,14,-12,10,40,28,10,-4,8,20,16,18,8,22,2,8,16,20,16,10,16,24,6,18,-8,-4,-14,10,40,12,-4,54,28,24,22,26,16,10,-6,-14,18,6,8,22,20,14,40,6,26,34,2,30,6,12,10,20,30,20,48,28,30,28,16,20,50,18,16,26,-12,4,42,22,10,16,22,8,12,8,-16,18,38,32,36,32,12,32,10,42,8,30,48,48,40,54,56,34,50,50,48,34,20,48,62,60,52,48,36,40,38,26,50,-4,24,12,30,28,4,20,10,10,26,26,26,2,22,-4,4,6,0,16,6,40,44,18,32,-6,22,24,8,26,8,22,22,-12,14,32,-2,10,48,24,22,20,42,14,18,44,4,28,6,10,4,20,30,22,-10,32,58,12,42,-12,32,14,46,48,36,50,26,46,26,72,66,58,68,82,44,80,44,62,76,46,50,38,72,50,38,68,36,82,72,68,38,66,62,66,52,48,72,62,54,60,36,52,54,58,38,48,72,26,54,60,68,70,44,28,60,40,50,42,66,92,72,100,88,48,54,44,80,72,44,48,80,76,54,76,66,54,72,60,100,72,78,80,94,34,66,62,64,100,80,72,60,76,54,90,66,52,48,48,60,62,44,68,52,38,64,52,78,58,70,72,58,40,56,36,26,36,14,58,20,10,40,16,6,36,28,24,40,18,26,20,26,36,50,64,84,46,64,30,52,58,44,42,54,46,66,48,68,66,70,102,62,90,82,106,74,92,100,64,80,98,96,0,82,64,90,58,44,48,66,68,60,74,70,44,64,56,42,68,74,68,66,-46,8,-8,6,2,-10,18,14,32,-24,22,20,34,26,46,58,54,38,50,54,22,46,18,64,-2,34,4,20,28,72,54,0,22,42,40,30,26,46,44,58,16,44,38,58,26,-2,62,64,38,42,28,80,38,24,6
STE,42,44,18,44,52,32,68,44,16,32,48,36,6,18,64,44,10,60,32,56,26,46,48,68,26,26,18,30,12,50,42,64,34,56,14,22,64,16,56,30,50,20,6,14,30,8,-12,10,34,8,14,4,2,4,14,22,32,-10,28,26,12,16,10,28,4,16,10,26,14,16,-18,-4,24,6,2,30,36,-8,-14,36,30,-6,8,32,54,54,42,56,50,58,18,38,64,62,36,66,30,52,50,18,22,40,38,24,42,46,44,32,32,64,22,60,22,18,30,18,62,56,24,56,14,36,54,32,24,30,28,4,34,36,44,34,38,24,64,28,20,16,40,60,50,16,42,44,68,34,58,32,58,50,32,28,58,32,32,32,2,12,54,22,44,28,38,22,28,12,20,30,44,36,58,76,18,42,26,48,18,56,38,34,54,58,60,44,70,32,68,60,34,34,68,50,62,40,22,36,22,36,56,14,24,16,48,66,44,8,30,32,20,4,34,40,30,-2,26,28,14,36,68,48,8,38,78,-6,38,10,10,46,48,18,32,10,18,48,2,14,30,24,44,28,22,38,18,54,34,42,24,36,16,20,42,36,28,20,56,40,30,-14,6,8,26,28,14,4,10,52,18,46,12,20,32,22,28,34,28,48,42,40,30,36,36,36,18,38,30,60,44,50,-2,48,34,50,50,4,50,34,30,20,26,36,60,30,62,70,62,48,32,14,78,58,30,52,74,46,74,48,80,66,100,92,64,48,64,74,74,76,56,36,58,42,72,64,80,64,68,50,64,60,66,60,70,28,88,86,56,78,58,62,68,66,66,52,52,44,78,44,70,66,84,48,60,22,46,56,58,34,52,56,72,40,54,32,12,26,32,40,48,0,36,48,26,16,60,14,34,14,34,-4,-12,48,36,34,44,52,58,24,40,44,18,56,26,18,52,90,90,48,64,88,58,60,68,72,74,88,116,72,78,70,88,82,0,50,72,40,58,66,76,36,36,58,68,44,22,54,38,54,70,48,82,12,24,6,-2,-12,4,24,10,18,34,26,-10,44,42,56,60,42,34,52,54,40,62,26,72,18,46,32,32,24,72,62,26,8,60,26,30,34,56,38,38,22,78,22,46,42,8,68,68,42,32,30,60,22,34,16
NOW,40,54,-4,78,62,-2,24,30,14,16,22,18,-12,0,32,30,24,44,46,60,14,36,54,22,30,24,20,6,6,14,42,12,36,48,50,44,20,16,18,72,-6,54,24,26,10,28,28,-4,50,52,22,44,38,10,40,60,32,18,38,38,38,32,24,22,42,46,38,-8,26,-16,-6,-8,10,8,14,16,-8,-8,-24,4,10,-6,-2,24,6,30,40,2,18,20,30,16,26,24,20,22,30,16,18,28,16,4,26,24,42,34,10,32,56,24,32,28,32,-14,8,22,30,12,-2,54,28,12,18,26,10,6,32,10,36,-10,40,36,48,28,26,24,28,12,18,54,6,10,18,44,64,-6,72,46,38,34,24,44,52,38,30,26,18,-2,26,28,10,28,14,-4,14,6,28,30,46,30,50,54,38,52,-16,50,38,40,48,38,56,46,48,28,74,44,60,40,8,50,66,32,46,60,16,34,72,48,54,-8,16,34,26,72,-22,36,24,30,10,24,12,14,4,18,58,18,2,26,6,22,34,26,32,28,54,36,24,16,4,26,24,22,46,18,10,26,54,42,12,32,62,-4,16,12,10,18,64,38,16,22,12,14,4,26,64,40,64,-34,34,14,26,38,20,18,-6,56,38,20,18,40,34,34,40,54,34,54,32,12,32,36,26,24,30,44,12,46,46,22,22,38,32,32,42,56,32,40,32,64,82,64,34,52,60,66,76,60,72,64,50,42,64,40,80,48,68,58,80,66,70,82,98,46,96,56,102,70,68,110,104,72,38,66,98,52,84,98,104,94,114,138,108,116,82,64,86,106,128,128,60,58,56,108,88,56,102,84,88,74,72,62,24,16,62,44,50,38,40,32,60,22,30,16,20,-6,12,46,4,-8,8,14,-20,24,28,40,22,0,24,18,8,12,58,50,88,46,78,28,54,60,18,36,66,70,28,24,46,54,40,56,62,48,58,68,70,62,72,64,34,82,52,64,50,0,156,52,32,56,76,38,44,78,64,56,78,90,52,60,44,76,50,-32,36,26,-14,-18,-22,10,32,60,30,22,6,32,42,44,56,46,60,46,70,52,28,58,40,50,50,44,38,16,38,76,22,30,54,84,28,22,44,64,54,6,54,50,52,46,38,90,64,122,50,18,56,88,40,20
PAYC,32,50,-12,64,50,-14,32,32,12,14,30,6,-6,4,44,18,28,28,42,44,24,40,62,28,34,18,32,2,6,38,38,24,28,42,42,32,62,0,30,58,-8,48,16,6,28,16,0,-6,42,44,6,32,14,2,24,40,38,8,24,16,0,28,28,2,8,40,22,-20,8,-24,-24,-20,6,2,8,28,4,0,-20,16,2,-22,-22,16,22,38,28,18,14,16,10,22,26,32,16,26,14,22,4,18,16,8,22,16,28,26,6,20,28,28,24,38,12,-22,-8,14,26,8,-10,38,18,-4,10,18,-2,10,8,-8,28,2,28,32,38,16,14,12,4,16,-6,50,2,2,22,36,56,-8,52,42,28,26,30,24,36,38,14,32,2,-10,34,16,18,4,14,0,10,-2,-4,8,26,30,50,58,34,36,0,34,32,42,48,34,40,46,28,40,66,40,56,42,12,42,50,38,64,64,16,34,48,32,58,-12,20,42,36,72,10,8,24,12,6,24,8,10,6,6,38,10,2,14,10,36,18,22,36,8,46,28,8,16,8,18,36,-6,30,18,-8,28,54,26,0,40,40,0,4,24,14,10,32,22,16,0,8,4,12,38,40,28,44,-28,42,-6,26,46,14,20,-12,52,42,20,30,24,30,38,24,42,6,30,24,0,12,24,28,36,16,28,18,36,46,28,38,26,18,32,50,48,40,38,46,68,54,56,34,62,44,62,60,60,44,72,52,34,72,24,68,40,72,44,72,74,86,74,102,38,76,60,94,86,56,86,100,80,62,58,82,40,76,86,104,84,90,130,104,92,84,56,98,118,124,108,64,74,60,92,100,40,74,84,90,78,56,70,36,12,38,40,50,38,44,38,50,36,42,32,8,-2,18,54,-6,-22,4,14,-16,12,32,6,26,-6,52,-8,28,32,74,46,92,46,66,32,58,56,18,44,74,66,6,32,46,56,40,50,82,70,64,60,66,78,76,60,38,66,68,90,72,156,0,44,26,48,66,34,44,60,80,60,76,78,56,48,56,72,46,-32,36,-2,-22,-8,-28,14,16,48,30,-14,-2,44,42,40,56,46,48,42,74,62,34,42,56,30,60,24,50,20,34,80,-10,14,38,68,32,30,32,62,62,2,62,52,52,48,40,78,56,106,30,14,56,68,42,1
PG,50,38,24,52,42,6,22,44,-4,36,18,28,4,12,12,18,36,16,14,36,18,8,26,-4,8,2,2,28,40,18,14,20,38,20,18,26,32,32,10,6,6,18,12,6,2,0,8,-10,38,16,16,8,6,-12,8,14,20,-4,22,-2,42,28,20,34,4,14,10,6,12,-32,2,-6,22,6,6,6,-10,4,0,12,10,24,0,30,10,24,20,8,34,0,2,6,42,18,8,6,24,10,-4,16,34,4,26,12,20,26,20,26,40,24,34,10,14,10,10,38,38,32,10,52,24,28,42,30,26,28,36,14,52,26,10,40,38,28,50,36,40,24,54,70,6,18,22,44,50,28,38,22,48,26,40,30,48,36,22,52,10,10,48,28,22,28,30,20,30,2,24,44,54,46,58,18,42,56,54,58,32,64,26,46,56,26,68,56,26,56,28,42,54,50,54,28,44,18,56,60,36,36,38,26,12,18,36,48,36,20,18,12,20,24,28,16,30,26,48,38,22,30,32,28,6,26,30,10,46,20,12,22,44,16,12,22,18,44,26,16,30,36,28,44,22,24,32,36,6,32,14,8,30,10,26,32,24,10,34,6,26,-28,42,36,40,62,32,56,58,20,42,60,46,80,64,84,54,66,70,54,66,52,38,32,40,48,64,72,30,52,60,56,24,68,66,48,46,36,70,74,38,30,34,28,32,34,44,38,68,8,36,28,44,62,32,52,56,28,8,32,42,48,42,56,46,74,60,54,50,54,76,60,70,54,42,66,46,64,52,58,52,72,66,62,84,68,94,54,62,62,70,74,60,54,42,64,60,60,62,36,68,42,60,56,40,34,58,48,58,62,48,56,68,28,58,44,70,42,52,68,72,40,60,82,40,54,36,20,42,58,36,20,40,48,48,46,68,44,50,96,62,20,60,48,30,46,94,120,74,48,56,38,46,36,64,44,52,52,60,48,42,34,58,58,40,52,44,0,90,50,62,116,22,88,32,44,70,46,12,138,58,64,90,28,28,-10,24,-4,30,14,60,10,2,54,28,8,22,20,40,18,8,-16,24,8,-2,16,18,18,4,0,62,44,50,18,64,10,60,44,74,28,56,52,42,38,46,56,54,46,28,72,92,56,26,28,44,56,24,1
MDLZ,28,38,30,48,44,30,30,40,12,22,28,32,-16,2,22,24,58,20,32,-18,50,32,62,28,-2,10,-2,26,16,44,38,28,30,2,14,18,26,48,24,22,46,8,20,-2,-10,26,-12,-4,38,18,-2,20,12,2,2,-18,12,-10,28,10,18,36,22,24,0,12,6,10,0,-22,8,0,22,-16,6,-28,-8,12,-16,16,22,36,-16,14,12,14,20,12,22,-14,26,12,30,20,6,4,6,30,22,-22,32,2,22,2,10,16,16,18,4,4,10,14,2,4,10,16,26,34,-16,54,30,16,30,18,14,24,16,2,56,30,20,24,18,-8,52,16,32,-2,48,50,-4,-8,38,38,40,26,22,12,36,14,46,32,28,34,36,28,0,10,30,18,18,12,12,8,28,10,20,22,34,32,36,30,16,38,36,38,14,34,54,36,22,30,60,38,34,56,28,30,52,44,22,24,40,22,50,46,20,48,18,30,12,6,52,48,46,20,16,14,20,10,18,-2,6,20,28,26,6,26,36,20,0,40,18,-2,44,18,-4,38,44,16,0,32,16,24,8,-10,14,20,22,16,16,30,24,38,20,22,16,-4,14,22,28,18,12,-18,24,8,30,-12,18,2,44,54,18,38,50,-16,18,54,44,54,66,64,58,68,26,56,54,48,42,30,58,48,52,58,38,40,54,64,40,56,50,36,44,48,54,42,46,22,20,12,8,26,18,30,50,26,38,20,46,32,36,50,22,28,28,30,38,38,30,56,64,62,46,56,60,44,50,28,66,30,48,54,38,78,66,38,60,58,44,44,54,34,54,60,46,62,46,44,74,56,68,50,40,70,46,20,52,52,52,52,56,76,66,56,68,52,62,62,88,58,76,64,46,50,30,88,62,52,72,76,68,54,16,42,62,66,38,12,48,42,24,52,68,58,34,52,46,42,58,50,30,44,64,104,76,40,86,26,54,22,60,30,54,58,68,50,28,40,20,44,58,32,26,90,0,54,84,74,14,90,46,46,54,32,20,110,76,62,106,18,38,2,46,-10,18,12,26,8,10,48,20,2,-4,-2,12,-2,-10,-12,24,-2,24,6,14,12,6,18,48,50,38,36,56,22,62,44,68,40,40,38,38,50,40,18,66,50,34,38,96,10,36,54,36,32,54,12
